k,X,Y,class
0,8346,6982,2
1,4270,1363,7
2,7784,2672,9
3,1942,6159,0
4,2218,6638,1
5,4291,9747,1
6,8005,8301,2
7,3249,6036,3
8,4216,7232,3
9,7042,8782,6
10,2628,5439,5
11,5717,1718,0
12,1602,7957,0
13,6758,5189,0
14,7593,8781,0
15,2893,1126,4
16,5390,9026,3
17,9436,2668,6
18,8884,1950,0
19,6147,8904,8
20,5935,6389,4
21,7643,995,6
22,2350,4481,2
23,2843,8912,7
24,5045,8428,3
25,5112,7589,2
26,5584,3875,3
27,3106,3881,0
28,8609,2190,0
29,3183,7115,3
30,2353,5440,5
31,7793,6265,1
32,7930,6025,1
33,7371,2673,9
34,6073,6628,8
35,8617,5305,7
36,6763,7345,3
37,7317,8781,0
38,5177,6271,2
39,8278,7342,6
40,5462,10104,3
41,8957,3507,1
42,2966,2923,1
43,6063,2556,4
44,2494,6877,8
45,4830,4955,5
46,5027,1241,1
47,7234,2673,9
48,7788,4109,1
49,9236,5183,8
50,3459,7593,2
51,2619,1606,6
52,3595,6634,1
53,4209,4357,6
54,3874,8311,1
55,3039,4480,2
56,7726,7104,2
57,5787,2078,0
58,2768,6397,3
59,3652,1723,7
60,3461,8072,3
61,5926,2796,4
62,3452,4479,0
63,9102,6861,3
64,7045,9980,4
65,8132,4228,6
66,9093,3028,4
67,2912,9032,7
68,4908,8668,8
69,2972,5318,5
70,7644,1714,1
71,2086,8794,4
72,3379,2682,0
73,3999,2801,1
74,4289,9028,3
75,5393,9984,3
76,7930,5786,1
77,6130,1957,6
78,6135,3873,8
79,7656,6505,6
80,5719,2437,4
81,6817,997,4
82,6972,8423,4
83,9443,5303,8
84,6006,7467,3
85,7647,2911,9
86,1877,7956,6
87,6350,7346,3
88,4962,2798,2
89,6548,3872,2
90,4977,9027,2
91,5791,3754,1
92,7796,7463,8
93,7657,6984,8
94,4008,6633,3
95,4215,6753,2
96,4132,1123,7
97,4070,3878,3
98,5256,10224,1
99,7026,2075,1
100,6414,5310,6
101,9102,6621,2
102,4615,1482,7
103,5525,7588,3
104,4349,5555,6
105,7660,8182,6
106,7646,2432,9
107,3171,2323,1
108,7722,5187,7
109,4147,7352,3
110,8953,2070,4
