X,Y,class
-3.821715,-0.19631474,2
-3.7874382,5.9781485,7
2.1491945,5.3712745,9
3.9983056,0.27913785,0
-1.3507544,1.8349811,1
-3.0180879,2.242418,1
-3.8785512,-0.07171727,2
-3.602481,-3.139528,3
-3.2828228,-2.872576,3
1.5047578,-1.1927015,6
2.759961,-0.72058,5
3.1524665,2.64486,0
1.9951307,1.958134,0
-0.122061454,2.1232722,0
1.1850114,0.075850286,0
6.8710656,5.064699,4
-2.6196,-2.5653002,3
1.4730121,-2.4646268,6
3.3992472,2.1607475,0
-2.0759637,0.5505299,8
6.0810204,5.7272983,4
-0.036969442,-2.5000358,6
-0.43638414,0.031937476,2
-3.6007347,5.1554313,7
-1.2470303,0.42507342,3
-5.422229,1.2903208,2
-1.1306655,0.50176984,3
1.5310872,1.6168087,0
3.32461,1.2814046,0
-4.1548114,-1.9901632,3
2.3159027,-1.464445,5
-3.2032297,2.7977679,1
-2.103413,4.2453847,1
1.5259567,5.803509,9
-3.4279253,-0.33950904,8
-3.777557,5.502005,7
-4.6248174,-1.7423896,3
1.1254903,0.2086871,0
-3.5090027,1.6529151,2
0.22787048,-4.1174564,6
-1.2427537,0.56275994,3
-1.3075297,2.397537,1
-1.970142,4.0477133,1
3.9192255,2.7270393,4
-2.717953,0.7752647,8
0.9495868,-1.440542,5
-2.0498536,3.359334,1
1.1223444,6.2209587,9
-1.8721688,4.0894985,1
-1.2718315,0.52374464,8
-5.672517,-0.18430918,2
1.0153505,-3.5431495,6
-2.7171605,2.858588,1
-0.34233302,-0.83271307,6
-3.4564857,4.010381,1
-2.7559357,0.92317057,2
-3.6603184,-0.106209636,2
2.465761,0.4800254,0
-2.430198,-1.7306865,3
-2.4091206,6.4911294,7
-1.7132131,-2.7233455,3
3.5541253,2.7306592,4
0.7804004,1.8442799,0
-4.765938,-1.1954265,3
5.135808,4.02106,4
0.24491823,-2.3308687,6
5.412926,3.8858192,4
-3.4360123,6.322124,7
-2.1061192,0.118814245,8
0.07645454,-1.4255742,5
-0.37247407,0.9962886,1
5.5337367,3.401269,4
-0.0063942294,1.4063969,0
-2.7342916,4.909786,1
-2.0772595,-0.5312719,3
-0.7688176,0.8959135,3
-1.9594173,4.9843845,1
-0.1441218,-0.8302229,6
-3.3417234,0.93754953,8
-0.17684111,-0.6802943,6
3.9715424,3.1241577,4
5.4835854,3.3293018,4
5.0828567,4.95736,4
-1.6077865,0.8248194,8
-3.2546484,-2.0267177,3
1.4897404,5.465379,9
1.4284708,-1.950119,6
-3.7707784,-1.9070648,3
-4.139997,0.28701702,2
-5.242355,0.3444279,2
-4.3015094,0.30467716,2
-2.4417365,3.3335078,1
-2.045943,0.06321599,8
-2.8022108,0.36039376,8
-3.6159236,-3.1194265,3
-3.2546089,0.32586962,2
-2.1862078,5.780651,7
-0.76813525,0.69202834,3
-1.6299666,3.204141,1
-0.76774776,2.6004267,1
0.101398334,-2.9963338,6
-5.2652917,-0.7606148,2
-2.8068058,6.55478,7
-4.4996114,-1.4135789,3
1.0394546,-2.7267814,6
0.50564986,-4.083472,6
3.3723588,4.897143,9
-2.192577,5.4523335,1
-2.8594816,5.72809,7
-4.0891933,-2.2576578,3
4.4628334,2.9992666,4
2.9460945,1.8545377,0
2.9283462,2.874017,0
2.30421,2.3486106,0
-2.544263,6.6782613,7
2.1810334,1.65703,0
-2.4396563,-2.3700573,3
1.873512,1.9719753,0
-2.3248825,6.847482,7
-0.92264354,-3.2756684,5
-3.788133,-2.6969001,3
-2.0187926,5.830033,7
0.1481965,-1.5487577,6
-2.002214,0.6146101,2
-0.12554224,-1.1639746,5
1.8927906,2.0009618,0
1.6527519,-1.0968856,5
1.940114,1.5071774,0
0.22036737,-3.184091,6
4.0722737,2.9265568,4
-1.566308,4.653135,1
-1.8299435,2.3924253,1
-4.3848286,-1.1207393,3
-0.64833254,1.6849126,1
-1.7280327,0.6822005,2
-2.5524216,5.831785,7
-3.4774234,0.22914338,2
3.4704955,3.3976986,4
-3.9714615,-0.038559232,2
