,X,Y,class
0,7.383166,7.862763,7MEP
1,14.187802,10.59354,15Mo
2,0.54096425,12.711273,3Ery
3,11.369036,12.860958,15Mo
4,0.15692118,12.073351,3Ery
5,10.830663,10.838669,15Mo
6,4.0900383,10.435087,4Ery
7,4.8826957,7.183207,2Ery
8,5.5844107,10.027067,3Ery
9,-1.1473111,10.525061,2Ery
10,1.6864029,9.998998,2Ery
11,9.8163595,11.288589,17Neu
12,12.223572,9.915807,14Mo
13,11.688379,9.44824,13Baso
14,0.84965765,11.008402,3Ery
15,7.701875,7.675331,7MEP
16,2.126641,11.688114,3Ery
17,0.86098826,10.93942,3Ery
18,-0.33878857,11.418416,2Ery
19,7.6962705,10.800489,8Mk
20,4.941013,9.451375,3Ery
21,10.509603,9.642022,9GMP
22,7.420996,9.550356,8Mk
23,9.989808,9.122393,10GMP
24,13.459777,11.532817,15Mo
25,12.345781,12.754768,16Neu
26,1.9207854,9.136369,4Ery
27,10.527873,10.084145,13Baso
28,9.977324,11.223185,17Neu
29,1.7610087,11.537744,3Ery
30,1.534661,11.467001,2Ery
31,2.9028635,11.754647,3Ery
32,4.0261574,9.029581,5Ery
33,3.5580285,10.87606,3Ery
34,11.958915,7.9771633,13Baso
35,-2.419913,10.93869,1Ery
36,-0.042952932,12.642242,3Ery
37,5.2034893,10.1285515,6Ery
38,13.364846,12.371954,15Mo
39,3.6431613,9.736653,3Ery
40,0.2508903,10.395125,3Ery
41,12.998956,9.074284,14Mo
42,9.979515,7.5304413,19Lymph
43,9.773485,10.664883,12Baso
44,0.30605626,12.535751,3Ery
45,14.657032,8.838507,14Mo
46,3.701379,10.209859,6Ery
47,1.650819,10.156009,4Ery
48,9.626442,8.326144,7MEP
49,0.33830136,10.662171,2Ery
50,11.79267,8.271627,13Baso
51,11.622123,12.438336,14Mo
52,4.7003536,9.62129,6Ery
53,10.295197,12.636313,18Eos
54,1.0120144,10.490236,4Ery
55,2.2479491,8.8977995,3Ery
56,3.063363,10.779894,3Ery
57,13.759944,10.335049,14Mo
58,-0.29435173,11.081405,2Ery
59,13.736555,9.0532055,13Baso
60,-0.8157232,11.119348,2Ery
61,14.077922,7.6085424,13Baso
62,13.640822,8.654144,13Baso
63,13.833026,8.954568,14Mo
64,7.5355763,7.572311,7MEP
65,5.666075,9.89145,7MEP
66,7.7513003,8.435895,7MEP
67,11.53883,7.682103,10GMP
68,9.780087,10.359324,12Baso
69,6.502429,8.51409,6Ery
70,5.195837,8.230539,5Ery
71,4.1448646,8.764706,5Ery
72,11.930321,13.415699,14Mo
73,1.6738201,10.081257,4Ery
74,12.644009,13.683311,16Neu
75,12.151973,13.743488,16Neu
76,2.43614,11.379282,3Ery
77,0.6131943,9.485032,2Ery
78,1.7807902,9.431462,6Ery
79,12.999029,8.120182,13Baso
80,10.507523,9.428399,13Baso
81,10.3414,9.290858,10GMP
